date,Gemini,copilot,Chatgpt,IBM Watson,Region
2023-09-17,8,2,55,0,GB
2023-09-24,8,3,58,0,GB
2023-10-01,8,2,64,0,GB
2023-10-08,7,2,67,0,GB
2023-10-15,8,2,67,0,GB
2023-10-22,9,2,70,0,GB
2023-10-29,9,2,71,0,GB
2023-11-05,8,3,84,0,GB
2023-11-12,8,4,81,0,GB
2023-11-19,8,4,82,0,GB
2023-11-26,8,3,84,0,GB
2023-12-03,16,3,82,0,GB
2023-12-10,12,3,81,0,GB
2023-12-17,10,2,58,0,GB
2023-12-24,10,2,41,0,GB
2023-12-31,10,3,63,0,GB
2024-01-07,9,4,79,0,GB
2024-01-14,9,5,81,0,GB
2024-01-21,8,4,78,0,GB
2024-01-28,9,4,83,0,GB
2024-02-04,13,6,80,0,GB
2024-02-11,17,7,83,0,GB
2024-02-18,22,7,86,0,GB
2024-02-25,19,7,89,0,GB
2024-03-03,16,7,89,0,GB
2024-03-10,16,7,89,0,GB
2024-03-17,16,7,85,0,GB
2024-03-24,16,6,73,0,GB
2024-03-31,14,5,66,0,GB
2024-04-07,14,6,70,0,GB
2024-04-14,14,6,83,0,GB
2024-04-21,15,6,82,0,GB
2024-04-28,14,7,85,0,GB
2024-05-05,14,6,73,0,GB
2024-05-12,16,7,84,0,GB
2024-05-19,18,10,84,0,GB
2024-05-26,16,6,67,0,GB
2024-06-02,18,7,92,0,GB
2024-06-09,15,7,71,0,GB
2024-06-16,14,7,67,0,GB
2024-06-23,13,6,70,0,GB
2024-06-30,13,6,63,0,GB
2024-07-07,12,6,61,0,GB
2024-07-14,15,5,59,0,GB
2024-07-21,16,6,59,0,GB
2024-07-28,15,5,56,0,GB
2024-08-04,12,5,58,0,GB
2024-08-11,16,5,68,0,GB
2024-08-18,18,6,70,0,GB
2024-08-25,19,6,66,0,GB
2024-09-01,20,7,80,0,GB
2021-12-26,2,0,0,0,IN
2022-01-02,2,0,0,0,IN
2022-01-09,2,0,0,0,IN
2022-01-16,2,0,0,0,IN
2022-01-23,2,0,0,0,IN
2022-01-30,2,0,0,0,IN
2022-02-06,2,0,0,0,IN
2022-02-13,2,0,0,0,IN
2022-02-20,2,0,0,0,IN
2022-02-27,3,0,0,0,IN
2022-03-06,2,0,0,0,IN
2022-03-13,2,0,0,0,IN
2022-03-20,2,0,0,0,IN
2022-03-27,2,0,0,0,IN
2022-04-03,2,0,0,0,IN
2022-04-10,2,0,0,0,IN
2022-04-17,2,0,0,0,IN
2022-04-24,2,0,0,0,IN
2022-05-01,2,0,0,0,IN
2022-05-08,2,0,0,0,IN
2022-05-15,2,0,0,0,IN
2022-05-22,2,0,0,0,IN
2022-05-29,3,0,0,0,IN
2022-06-05,2,0,0,0,IN
2022-06-12,2,0,0,0,IN
2022-06-19,2,0,0,0,IN
2022-06-26,2,0,0,0,IN
2022-07-03,2,0,0,0,IN
2022-07-10,2,0,0,0,IN
2022-07-17,2,0,0,0,IN
2022-07-24,2,0,0,0,IN
2022-07-31,2,0,0,0,IN
2022-08-07,2,0,0,0,IN
2022-08-14,2,0,0,0,IN
2022-08-21,2,0,0,0,IN
2022-08-28,2,0,0,0,IN
2022-09-04,2,0,0,0,IN
2022-09-11,2,0,0,0,IN
2022-09-18,2,0,0,0,IN
2022-09-25,2,0,0,0,IN
2022-10-02,2,0,0,0,IN
2022-10-09,2,0,0,0,IN
2022-10-16,2,0,0,0,IN
2022-10-23,2,0,0,0,IN
2022-10-30,2,0,0,0,IN
2022-11-06,2,0,0,0,IN
2022-11-13,2,0,0,0,IN
2022-11-20,2,0,0,0,IN
2022-11-27,2,0,0,0,IN
2022-12-04,2,0,4,0,IN
2022-12-11,2,0,4,0,IN
2022-12-18,2,0,3,0,IN
2022-12-25,2,0,4,0,IN
2023-01-01,3,0,7,0,IN
2023-01-08,3,0,13,0,IN
2023-01-15,2,0,20,0,IN
2023-01-22,2,0,25,0,IN
2023-01-29,2,0,29,0,IN
2023-02-05,2,0,35,0,IN
2023-02-12,2,0,34,0,IN
2023-02-19,3,0,37,0,IN
2023-02-26,2,0,36,0,IN
2023-03-05,2,0,34,0,IN
2023-03-12,2,0,36,0,IN
2023-03-19,2,1,32,0,IN
2023-03-26,2,0,38,0,IN
2023-04-02,2,0,36,0,IN
2023-04-09,2,0,42,0,IN
2023-04-16,2,0,41,0,IN
2023-04-23,2,0,43,0,IN
2023-04-30,2,0,40,0,IN
2023-05-07,2,0,41,0,IN
2023-05-14,2,0,48,0,IN
2023-05-21,2,0,50,0,IN
2023-05-28,2,0,50,0,IN
2023-06-04,2,0,51,0,IN
2023-06-11,2,0,60,0,IN
2023-06-18,2,0,59,0,IN
2023-06-25,2,0,55,0,IN
2023-07-02,2,0,56,0,IN
2023-07-09,2,0,57,0,IN
2023-07-16,2,0,55,0,IN
2023-07-23,2,0,54,0,IN
2023-07-30,2,0,56,0,IN
2023-08-06,2,0,59,0,IN
2023-08-13,2,0,53,0,IN
2023-08-20,2,0,58,0,IN
2023-08-27,2,0,55,0,IN
2023-09-03,2,0,56,0,IN
2023-09-10,2,0,57,0,IN
2023-09-17,2,0,56,0,IN
2023-09-24,2,1,59,0,IN
2023-10-01,2,0,60,0,IN
2023-10-08,2,0,59,0,IN
2023-10-15,2,0,59,0,IN
2023-10-22,2,0,55,0,IN
2023-10-29,2,0,65,0,IN
2023-11-05,2,0,63,0,IN
2023-11-12,2,0,53,0,IN
2023-11-19,2,1,66,0,IN
2023-11-26,2,0,68,0,IN
2023-12-03,8,0,71,0,IN
2023-12-10,6,1,77,0,IN
2023-12-17,4,0,65,0,IN
2023-12-24,3,1,57,0,IN
2023-12-31,4,3,61,0,IN
2024-01-07,3,1,69,0,IN
2024-01-14,3,1,63,0,IN
2024-01-21,2,1,60,0,IN
2024-01-28,2,1,65,0,IN
2024-02-04,5,1,68,0,IN
2024-02-11,9,2,65,0,IN
2024-02-18,11,2,68,0,IN
2024-02-25,12,2,68,0,IN
2024-03-03,10,2,67,0,IN
2024-03-10,10,2,75,0,IN
2024-03-17,10,2,68,0,IN
2024-03-24,9,2,63,0,IN
2024-03-31,10,2,70,0,IN
2024-04-07,10,2,66,0,IN
2024-04-14,10,2,70,0,IN
2024-04-21,10,2,75,0,IN
2024-04-28,10,2,70,0,IN
2024-05-05,10,2,71,0,IN
2024-05-12,10,2,71,0,IN
2024-05-19,11,2,76,0,IN
2024-05-26,10,2,81,0,IN
2024-06-02,10,2,77,0,IN
2024-06-09,10,2,74,0,IN
2024-06-16,11,2,69,0,IN
2024-06-23,10,2,71,0,IN
2024-06-30,9,2,72,0,IN
2024-07-07,9,2,71,0,IN
2024-07-14,10,2,74,0,IN
2024-07-21,9,2,76,0,IN
2024-07-28,10,2,78,0,IN
2024-08-04,10,2,86,0,IN
2024-08-11,10,2,76,0,IN
2024-08-18,11,2,88,0,IN
2024-08-25,13,2,95,0,IN
2024-09-01,13,3,100,0,IN
2021-12-26,6,0,0,0,AU
2022-01-02,7,0,0,0,AU
2022-01-09,6,0,0,0,AU
2022-01-16,6,0,0,0,AU
2022-01-23,6,0,0,0,AU
2022-01-30,6,0,0,0,AU
2022-02-06,6,0,0,0,AU
2022-02-13,6,0,0,0,AU
2022-02-20,7,0,0,0,AU
2022-02-27,6,0,0,0,AU
2022-03-06,6,0,0,0,AU
2022-03-13,6,0,0,0,AU
2022-03-20,6,0,0,0,AU
2022-03-27,6,0,0,0,AU
2022-04-03,6,0,0,0,AU
2022-04-10,6,0,0,0,AU
2022-04-17,6,0,0,0,AU
2022-04-24,5,0,0,0,AU
2022-05-01,5,0,0,0,AU
2022-05-08,6,0,0,0,AU
2022-05-15,8,0,0,0,AU
2022-05-22,8,0,0,0,AU
2022-05-29,7,0,0,0,AU
2022-06-05,6,0,0,0,AU
2022-06-12,7,0,0,0,AU
2022-06-19,6,1,0,0,AU
2022-06-26,6,0,0,0,AU
2022-07-03,5,0,0,0,AU
2022-07-10,6,0,0,0,AU
2022-07-17,6,0,0,0,AU
2022-07-24,5,0,0,0,AU
2022-07-31,5,0,0,0,AU
2022-08-07,5,0,0,0,AU
2022-08-14,5,0,0,0,AU
2022-08-21,5,0,0,0,AU
2022-08-28,6,0,0,0,AU
2022-09-04,6,0,0,0,AU
2022-09-11,5,0,0,0,AU
2022-09-18,6,0,0,0,AU
2022-09-25,5,0,0,0,AU
2022-10-02,6,0,0,0,AU
2022-10-09,5,0,0,0,AU
2022-10-16,5,0,0,0,AU
2022-10-23,5,0,0,0,AU
2022-10-30,5,0,0,0,AU
2022-11-06,5,0,0,0,AU
2022-11-13,6,0,0,0,AU
2022-11-20,5,0,0,0,AU
2022-11-27,5,0,1,0,AU
2022-12-04,6,0,17,0,AU
2022-12-11,6,0,19,0,AU
2022-12-18,5,0,12,0,AU
2022-12-25,6,0,10,0,AU
2023-01-01,6,0,16,0,AU
2023-01-08,6,0,28,0,AU
2023-01-15,6,0,36,0,AU
2023-01-22,6,0,39,0,AU
2023-01-29,5,0,58,0,AU
2023-02-05,5,0,69,0,AU
2023-02-12,5,1,65,0,AU
2023-02-19,6,0,64,0,AU
2023-02-26,5,0,66,0,AU
2023-03-05,5,1,65,0,AU
2023-03-12,5,2,77,0,AU
2023-03-19,5,4,93,0,AU
2023-03-26,5,3,90,0,AU
2023-04-02,5,2,84,0,AU
2023-04-09,6,1,65,0,AU
2023-04-16,5,1,77,0,AU
2023-04-23,5,1,82,0,AU
2023-04-30,6,1,85,0,AU
2023-05-07,5,1,85,0,AU
2023-05-14,5,1,83,0,AU
2023-05-21,7,2,82,0,AU
2023-05-28,6,1,78,0,AU
2023-06-04,6,1,70,0,AU
2023-06-11,6,1,63,0,AU
2023-06-18,6,1,57,0,AU
2023-06-25,5,1,51,0,AU
2023-07-02,5,1,46,0,AU
2023-07-09,5,1,52,0,AU
2023-07-16,4,1,52,0,AU
2023-07-23,5,1,56,0,AU
2023-07-30,5,1,63,0,AU
2023-08-06,5,1,66,0,AU
2023-08-13,4,1,66,0,AU
2023-08-20,4,1,68,0,AU
2023-08-27,5,1,76,0,AU
2023-09-03,4,1,68,0,AU
2023-09-10,4,1,66,0,AU
2023-09-17,4,1,64,0,AU
2023-09-24,5,2,56,0,AU
2023-10-01,5,2,62,0,AU
2023-10-08,5,1,66,0,AU
2023-10-15,7,1,67,0,AU
2023-10-22,5,1,68,0,AU
2023-10-29,5,2,65,0,AU
2023-11-05,5,2,66,0,AU
2023-11-12,5,2,65,0,AU
2023-11-19,5,2,59,0,AU
2023-11-26,5,2,57,0,AU
2023-12-03,11,2,56,0,AU
2023-12-10,8,2,49,0,AU
2023-12-17,6,2,39,0,AU
2023-12-24,6,1,25,0,AU
2023-12-31,6,2,34,0,AU
2024-01-07,6,2,42,0,AU
2024-01-14,5,3,44,0,AU
2024-01-21,5,3,43,0,AU
2024-01-28,5,3,54,0,AU
2024-02-04,8,4,58,0,AU
2024-02-11,11,5,62,0,AU
2024-02-18,15,5,68,0,AU
2024-02-25,14,5,72,0,AU
2024-03-03,11,5,82,0,AU
2024-03-10,11,5,79,0,AU
2024-03-17,14,5,95,0,AU
2024-03-24,10,5,81,0,AU
2024-03-31,10,5,70,0,AU
2024-04-07,11,6,82,0,AU
2024-04-14,11,5,74,0,AU
2024-04-21,11,4,74,0,AU
2024-04-28,11,6,90,0,AU
2024-05-05,12,5,84,0,AU
2024-05-12,13,6,94,0,AU
2024-05-19,15,8,100,0,AU
2024-05-26,13,7,91,0,AU
2024-06-02,14,6,96,0,AU
2024-06-09,11,5,78,0,AU
2024-06-16,11,6,72,0,AU
2024-06-23,9,5,71,0,AU
2024-06-30,9,4,61,0,AU
2024-07-07,9,4,60,0,AU
2024-07-14,9,4,64,0,AU
2024-07-21,10,5,74,0,AU
2024-07-28,10,5,77,0,AU
2024-08-04,10,6,84,0,AU
2024-08-11,11,6,92,0,AU
2024-08-18,13,7,95,0,AU
2024-08-25,13,6,99,0,AU
2024-09-01,13,7,100,0,AU
2021-12-26,11,0,0,0,CA
2022-01-02,7,0,0,0,CA
2022-01-09,6,0,0,0,CA
2022-01-16,6,0,0,0,CA
2022-01-23,5,0,0,0,CA
2022-01-30,6,0,0,0,CA
2022-02-06,5,0,0,0,CA
2022-02-13,5,0,0,0,CA
2022-02-20,6,0,0,0,CA
2022-02-27,5,0,0,0,CA
2022-03-06,5,0,0,0,CA
2022-03-13,5,0,0,0,CA
2022-03-20,5,0,0,0,CA
2022-03-27,5,0,0,0,CA
2022-04-03,5,0,0,0,CA
2022-04-10,5,0,0,0,CA
2022-04-17,5,0,0,0,CA
2022-04-24,5,0,0,0,CA
2022-05-01,5,0,0,0,CA
2022-05-08,6,0,0,0,CA
2022-05-15,6,0,0,0,CA
2022-05-22,6,0,0,0,CA
2022-05-29,6,0,0,0,CA
2022-06-05,6,0,0,0,CA
2022-06-12,6,0,0,0,CA
2022-06-19,6,1,0,0,CA
2022-06-26,5,0,0,0,CA
2022-07-03,5,0,0,0,CA
2022-07-10,5,0,0,0,CA
2022-07-17,5,0,0,0,CA
2022-07-24,5,0,0,0,CA
2022-07-31,5,0,0,0,CA
2022-08-07,5,0,0,0,CA
2022-08-14,5,0,0,0,CA
2022-08-21,5,0,0,0,CA
2022-08-28,4,0,0,0,CA
2022-09-04,4,0,0,0,CA
2022-09-11,4,0,0,0,CA
2022-09-18,5,0,0,0,CA
2022-09-25,5,0,0,0,CA
2022-10-02,5,0,0,0,CA
2022-10-09,5,0,0,0,CA
2022-10-16,5,0,0,0,CA
2022-10-23,5,0,0,0,CA
2022-10-30,5,0,0,0,CA
2022-11-06,5,0,0,0,CA
2022-11-13,5,0,0,0,CA
2022-11-20,5,0,0,0,CA
2022-11-27,4,0,2,0,CA
2022-12-04,5,1,28,0,CA
2022-12-11,5,1,41,0,CA
2022-12-18,4,0,20,0,CA
2022-12-25,4,0,16,0,CA
2023-01-01,5,0,25,0,CA
2023-01-08,5,1,43,0,CA
2023-01-15,5,1,53,0,CA
2023-01-22,5,1,67,0,CA
2023-01-29,5,1,70,0,CA
2023-02-05,4,1,83,0,CA
2023-02-12,4,1,80,0,CA
2023-02-19,5,1,76,0,CA
2023-02-26,4,1,76,0,CA
2023-03-05,5,1,75,0,CA
2023-03-12,5,2,80,0,CA
2023-03-19,5,4,92,0,CA
2023-03-26,5,2,97,0,CA
2023-04-02,4,2,89,0,CA
2023-04-09,4,2,91,0,CA
2023-04-16,5,1,92,0,CA
2023-04-23,5,1,78,0,CA
2023-04-30,4,1,67,0,CA
2023-05-07,4,1,70,0,CA
2023-05-14,5,1,76,0,CA
2023-05-21,6,2,72,0,CA
2023-05-28,5,1,75,0,CA
2023-06-04,5,1,72,0,CA
2023-06-11,5,1,72,0,CA
2023-06-18,6,1,65,0,CA
2023-06-25,5,1,53,0,CA
2023-07-02,5,1,52,0,CA
2023-07-09,4,1,63,0,CA
2023-07-16,4,1,53,0,CA
2023-07-23,4,1,54,0,CA
2023-07-30,4,1,52,0,CA
2023-08-06,4,1,46,0,CA
2023-08-13,4,1,47,0,CA
2023-08-20,4,1,41,0,CA
2023-08-27,4,1,47,0,CA
2023-09-03,4,1,49,0,CA
2023-09-10,4,1,68,0,CA
2023-09-17,4,1,78,0,CA
2023-09-24,4,2,89,0,CA
2023-10-01,4,2,88,0,CA
2023-10-08,4,1,80,0,CA
2023-10-15,4,1,94,0,CA
2023-10-22,4,1,81,0,CA
2023-10-29,4,2,82,0,CA
2023-11-05,4,2,88,0,CA
2023-11-12,4,2,84,0,CA
2023-11-19,4,2,91,0,CA
2023-11-26,4,2,89,0,CA
2023-12-03,11,2,92,0,CA
2023-12-10,8,2,88,0,CA
2023-12-17,6,2,63,0,CA
2023-12-24,5,1,36,0,CA
2023-12-31,5,2,47,0,CA
2024-01-07,5,2,70,0,CA
2024-01-14,4,4,84,0,CA
2024-01-21,5,3,90,0,CA
2024-01-28,4,4,91,0,CA
2024-02-04,11,5,94,0,CA
2024-02-11,13,6,99,0,CA
2024-02-18,15,5,87,0,CA
2024-02-25,12,5,86,0,CA
2024-03-03,11,5,91,0,CA
2024-03-10,9,6,87,0,CA
2024-03-17,12,6,91,0,CA
2024-03-24,9,5,83,0,CA
2024-03-31,9,5,93,0,CA
2024-04-07,10,6,92,0,CA
2024-04-14,10,5,90,0,CA
2024-04-21,9,4,77,0,CA
2024-04-28,9,4,74,0,CA
2024-05-05,9,4,77,0,CA
2024-05-12,12,5,86,0,CA
2024-05-19,12,6,86,0,CA
2024-05-26,11,5,93,0,CA
2024-06-02,11,6,100,0,CA
2024-06-09,10,5,92,0,CA
2024-06-16,10,5,88,0,CA
2024-06-23,8,4,63,0,CA
2024-06-30,8,4,64,0,CA
2024-07-07,8,4,69,0,CA
2024-07-14,8,4,69,0,CA
2024-07-21,8,4,73,0,CA
2024-07-28,9,4,68,0,CA
2024-08-04,8,3,65,0,CA
2024-08-11,10,4,75,0,CA
2024-08-18,9,4,69,0,CA
2024-08-25,9,4,67,0,CA
2024-09-01,9,4,75,0,CA
